title,id,funding_type,program,status,grant_or_tender,topic,deadline_model,opening_date,closing_date
Strategic Business Alliance for Urban Mobility – E&S Permanently Open call,EITUM-BP23-25,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-EIT-2023-25-KIC-EITURBANMOBILITY,multiple cut-off,20 October 2023,20 May 2024 17:00:00 Brussels time
Permanently Open Call for Targeted Innovation Projects,EITUM-BP23-25,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-EIT-2023-25-KIC-EITURBANMOBILITY,multiple cut-off,14 December 2023,31 December 2025 17:00:00 Brussels time
Identification or Validation of Targets for Personalised Medicine Approaches (PMTargets),EP PerMed,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-HLTH-2023-CARE-08-01,single-stage,02 January 2024,5 March 2024 17:00:00 Brussels time
Gaining experience and confidence in New Approach Methodologies (NAM) for regulatory safety and efficacy testing – coordinated training and experience exchange for regulators,HORIZON-HLTH-2024-IND-06-09,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,26 October 2023,11 April 2024 17:00:00 Brussels time
Improving clinical management of heart disease from early detection to treatment,HORIZON-JU-IHI-2024-07-01-singe-stage,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,16 January 2024,22 May 2024 17:00:00 Brussels time
"Next generation low-emission, climate-resilient pathways and NDCs for a future aligned with the Paris Agreement",HORIZON-CL5-2024-D1-01-05,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,12 September 2023,5 March 2024 17:00:00 Brussels time
"Novel paradigms and approaches, towards AI-powered robots– step change in functionality (AI, data and robotics partnership) (RIA)",HORIZON-CL4-2024-DIGITAL-EMERGING-01-03,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
Smart photonics for joint communication & sensing and access everywhere (Photonics Partnership) (RIA),HORIZON-CL4-2024-DIGITAL-EMERGING-01-54,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
Modulation of brain ageing through nutrition and healthy lifestyle (NutriBrain),ERA4Health,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-HLTH-2022-DISEASE-03-01,multiple cut-off,03 November 2023,27 May 2024 17:00:00 Brussels time
"Nano and advanced technologies for disease prevention, diagnostic and therapy",ERA4Health,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-HLTH-2022-DISEASE-03-01,multiple cut-off,14 November 2023,13 June 2024 17:00:00 Brussels time
Non-Li Sustainable Batteries with European Supply Chains for Stationary Storage (Batt4EU Partnership),HORIZON-CL5-2024-D2-01-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
Developing EU methodological frameworks for clinical/performance evaluation and post-market clinical/performance follow-up of medical devices and in vitro diagnostic medical devices (IVDs),HORIZON-HLTH-2024-IND-06-08,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,26 October 2023,11 April 2024 17:00:00 Brussels time
"Alternative heating systems for efficient, flexible and electrified heat generation in industry",HORIZON-CL5-2024-D4-01-03,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
Associated Regions for the ULTFARMS Project,ULTFARMS,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-MISS-2021-OCEAN-04-01,single-stage,22 January 2024,29 March 2024 17:00:00 Brussels time
Open Call for Local Nodes,EEN2EIC,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-EIC-2021-EEN-01-01,single-stage,24 January 2023,31 March 2025 17:00:00 Brussels time
IMPETUS Citizen Science Challenge 2024,Impetus,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-WIDERA-2021-ERA-01-61,single-stage,10 January 2024,14 March 2024 17:00:00 Brussels time
European Union Prize for Citizen Science,Impetus,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-WIDERA-2021-ERA-01-61,single-stage,10 January 2024,12 March 2024 17:00:00 Brussels time
NGI Search 4th Open Call,NGI Search,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2021-HUMAN-01-05,single-stage,01 January 2024,1 March 2024 17:00:00 Brussels time
"Industrial leadership in AI, Data and Robotics boosting competitiveness and the green transition (AI Data and Robotics Partnership) (IA)[[https://www.europarl.europa.eu/RegData/etudes/STUD/2021/662906/IPOL_STU(2021)662906_EN.pdf]]",HORIZON-CL4-2024-DIGITAL-EMERGING-01-04,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
Public recognition scheme for Open Source (CSA),HORIZON-CL4-2024-DIGITAL-EMERGING-01-23,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
CLIMAAX First Open Call OPEN CALL FOR REGIONS and COMMUNITIES,CLIMAAX,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-MISS-2021-CLIMA-02-01,single-stage,08 December 2023,8 March 2024 17:00:00 Brussels time
Piloting emerging Smart IoT Platforms and decentralized intelligence (IA),HORIZON-CL4-2024-DATA-01-03,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
Startup Europe,HORIZON-EIE-2024-CONNECT-01-02,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,11 January 2024,25 April 2024 17:00:00 Brussels time
Synergy with national and regional initiatives in Europe (CSA),HORIZON-CL4-2024-DIGITAL-EMERGING-01-34,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
System Architecture - Standardisation and Follow-up/PoCs,HORIZON-JU-SNS-2024-STREAM-B-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON JU Research and Innovation Actions,single-stage,16 January 2024,18 April 2024 17:00:00 Brussels time
"Develop innovative applications to support the European Green Deal, building on meteorological satellite data",HORIZON-CL6-2024-GOVERNANCE-01-6,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,17 October 2023,28 February 2024 17:00:00 Brussels time
Copernicus for Security,HORIZON-CL4-2024-SPACE-01-36,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,21 November 2023,21 March 2024 17:00:00 Brussels time
Open Source for Cloud/Edge to support European Digital Autonomy (RIA),HORIZON-CL4-2024-DIGITAL-EMERGING-01-21,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,15 November 2023,19 March 2024 17:00:00 Brussels time
Space technologies for European non-dependence and competitiveness,HORIZON-CL4-2024-SPACE-01-73,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,21 November 2023,21 March 2024 17:00:00 Brussels time
Support to the implementation of inclusive gender equality plans,HORIZON-WIDERA-2024-ERA-01-11,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Coordination and Support Actions,single-stage,06 December 2023,12 March 2024 17:00:00 Brussels time
Advanced sustainable and safe pre-processing technologies for End-of-Life (EoL) battery recycling (Batt4EU Partnership),HORIZON-CL5-2024-D2-01-01,Call for proposal,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON Research and Innovation Actions,single-stage,07 December 2023,18 April 2024 17:00:00 Brussels time
In Transit 1st Call DEVELOP,In Transit,Cascade funding,Horizon Europe (HORIZON),Open for submission,Grant,HORIZON-CL4-2022-RESILIENCE-01-26,single-stage,10 January 2024,13 March 2024 17:00:00 Brussels time
